"","-3sd","-2sd","-1sd","Mean","+1sd","+2sd","+3sd"
"AL",0.5653,0.4229,0.2923,0.1888,0.1159,0.0688,0.04
"BA",0,0,0,0,0.1772,0.9999,1
"GR",0.2368,0.2085,0.1827,0.1595,0.1388,0.1203,0.1041
"HR",0.00219999999999998,0.00260000000000005,0.003,0.00339999999999996,0.004,0.00460000000000005,0.00529999999999997
"RS",0.1558,0.153,0.1503,0.1476,0.1449,0.1423,0.1397
"RU",0.2077,0.1467,0.1012,0.0687,0.0462,0.0306999999999999,0.0204
"SI",1,1,1,0.9571,0,0,0
"TR",0.00939999999999996,0.0199,0.0417999999999999,0.0857,0.1674,0.3013,0.4806
"UA",NA,NA,NA,NA,NA,NA,NA
