"","-3sd","-2sd","-1sd","Mean","+1sd","+2sd","+3sd"
"AL",0.0296,0.0231,0.018,0.0141,0.011,0.0085,0.0066
"BA",0.854,0.6955,0.4714,0.2583,0.1197,0.0504,0.0203
"GR",0.0356,0.0554,0.085,0.1284,0.1893,0.2703,0.37
"HR",0.0159,0.00939999999999996,0.00549999999999995,0.00319999999999998,0.00190000000000001,0.00109999999999999,0.000600000000000045
"RS",0.0066,0.0129,0.0249,0.0477,0.0894,0.1613,0.2737
"RU",0.2065,0.1146,0.0605,0.0311,0.0157,0.0079,0.0039
"SI",1,1,1,0,0,0,0
"TR",0.0333,0.0339,0.0344,0.035,0.0356,0.0362,0.0368000000000001
"UA",NA,NA,NA,NA,NA,NA,NA
