"","-3sd","-2sd","-1sd","Mean","+1sd","+2sd","+3sd"
"AL",0.00449999999999995,0.00680000000000003,0.0104,0.0157,0.0238,0.0359,0.0538
"BA",0.2306,0.089,0.0309,0.0103,0.00339999999999996,0.00109999999999999,0.000399999999999956
"GR",0.237,0.2086,0.1828,0.1596,0.1388,0.1203,0.104
"HR",0.00219999999999998,0.00260000000000005,0.003,0.00339999999999996,0.004,0.00460000000000005,0.00529999999999997
"RS",0.3853,0.185,0.076,0.0289,0.0107,0.0039,0.0014
"RU",0.2688,0.1425,0.0698,0.0328,0.0151,0.0069,0.0031
"SI",1,1,1,0.957,0,0,0
"TR",0.0094,0.0199,0.0418,0.0857,0.1674,0.3014,0.4807
"UA",NA,NA,NA,NA,NA,NA,NA
