"","AIC1","AIC2","AIC3","AIC4","LR21","LR21p","LR31","LR31p","LR41","LR41p","LR43","LR43p"
"AL",-915.28,-913.31,-1176.29,-1169.25,0.03,0.8632,271.02,0,271.98,0,0.96,0.9157
"GR",-594.71,-592.87,-599.4,-604.69,0.16,0.6882,14.68,0.0118,27.98,0,13.3,0.0099
