"","-3sd","-2sd","-1sd","Mean","+1sd","+2sd","+3sd"
"AL",NA,NA,NA,NA,NA,NA,NA
"BA",8e-04,5e-04,4e-04,3e-04,2e-04,1e-04,1e-04
"GR",NA,NA,NA,NA,NA,NA,NA
"HR",0,0,0,0,0,0,0
"RS",0.0287,0.0681,0.1531,0.309,0.5253,0.7324,0.8713
"RU",0.0263,0.0257,0.0251,0.0245,0.0239,0.0234,0.0228
"SI",NA,NA,NA,NA,NA,NA,NA
"TR",0.0451,0.0566,0.0707,0.0881,0.1092,0.1346,0.1648
"UA",0.6541,0.4438,0.2518,0.1244,0.0565,0.0247,0.0106
